Учетн. номер дороги (новый),Учетн. номер дороги,Наименование автомобильной дороги (новое),Протяженность (км),Начало (км+…),Конец (км+…),Органы управления дорожным хозяйством, в оперативное управление которых переданы автомобильные дороги федерального значения,Телефоны оперативных дежурных служб,
А-106 Рублево-Успенское шоссе,-,Рублево-Успенское шоссе,28,596,0+580,29+176,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Рублево-Успенское шоссе,6,504,0+480,1+644,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Рублево-Успенское шоссе,-,2+810,8+140,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,Рублево-Успенское шоссе,7,427,1+511,2+336,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Рублево-Успенское шоссе,-,4+000,10+592,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,Рублево-Успенское шоссе,10,1,0+000,10+001,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,"- подъезд к дому отдыха ""Сосны""",1,262,0+000,1+262,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,"- подъезд к дому отдыха ""Сосны""",3,465,0+000,3+465,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,"- подъезд к дому отдыха ""Сосны""",3,727,0+000,3+727,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,"- подъезд к дому отдыха ""Сосны""",1,405,0+000,1+405,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,"- подъезд к дому отдыха ""Сосны""",160,368,-,-,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,"- подъезд к домам отдыха ""Усово"", ""Успенское"", ""Звенигородка""",2,38,-,-,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
"А-107 ""Московское малое кольцо""",-,Икша - Ногинск - Бронницы - Голицыно - Истра - Икша,238,432,10 участков,10 участков,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Икша - Ногинск - Бронницы - Голицыно - Истра - Икша,30,0+000,30+000,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,Икша - Ногинск - Бронницы - Голицыно - Истра - Икша,24,884,0+000,24+884,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Икша - Ногинск - Бронницы - Голицыно - Истра - Икша,9,348,0+000,9+348,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Икша - Ногинск - Бронницы - Голицыно - Истра - Икша,10,5,0+000,10+500,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Икша - Ногинск - Бронницы - Голицыно - Истра - Икша,10,5,0+000,10+500,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Икша - Ногинск - Бронницы - Голицыно - Истра - Икша,17,3,0+000,17+300,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Икша - Ногинск - Бронницы - Голицыно - Истра - Икша,33,3,0+000,33+300,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Икша - Ногинск - Бронницы - Голицыно - Истра - Икша,27,0+000,27+000,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,Икша - Ногинск - Бронницы - Голицыно - Истра - Икша,30,6,0+000,30+600,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Икша - Ногинск - Бронницы - Голицыно - Истра - Икша,45,0+000,45+000,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
"А-108 ""Московское большое кольцо""",-,Дмитров - Сергиев-Посад - Орехово-Зуево - Воскресенск - Михнево -,702,652,12 участков,12 участков,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Балабаново - Руза - Клин - Дмитров,-,-,-,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,Балабаново - Руза - Клин - Дмитров,46,0+000,46+000,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,Балабаново - Руза - Клин - Дмитров,7,0+000,7+000,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,Балабаново - Руза - Клин - Дмитров,57,13,0+000,57+130,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Балабаново - Руза - Клин - Дмитров,42,46,0+000,42+460,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Балабаново - Руза - Клин - Дмитров,32,385,0+000,32+000,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Балабаново - Руза - Клин - Дмитров,29,78,31+800,61+580,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Балабаново - Руза - Клин - Дмитров,56,0+000,35+592,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,Балабаново - Руза - Клин - Дмитров,-,36+000,56+000,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,Балабаново - Руза - Клин - Дмитров,44,822,0+000,44+822,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Балабаново - Руза - Клин - Дмитров,35,0+000,35+000,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,Балабаново - Руза - Клин - Дмитров,43,0+000,43+000,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,Балабаново - Руза - Клин - Дмитров,35,0+000,35+000,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,Балабаново - Руза - Клин - Дмитров,49,345,0+000,49+345,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Балабаново - Руза - Клин - Дмитров,73,73,0+000,73+730,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,"- подъезд к государственному комплексу ""Таруса"" и проезды по его территории",151,-,-,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
А-109 Ильинское шоссе,-,Ильинское шоссе,15,717,0+000,2+266,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Ильинское шоссе,-,2+700,16+151,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,- подъезд на км 10+354 и перемычка,2,566,0+000,2+380,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,- подъезд на км 10+354 и перемычка,-,0+000,0+186,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,,
-,-,- подъезд к даче № 7на км 16+151,1,127,0+000,1+127,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,- подъезд к даче № 7на км 16+151,0,493,0+000,0+493,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
"А-110 Подъездная дорога от а/д А-108 ""Московское большое кольцо"" к объекту ""Семеновское""",-,"Подъездная дорога от а/д А-108 ""Московское большое кольцо"" к объекту ""Семеновское""",15,202,0+000,12+785,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
А-112 Чепелево - Вельяминово ,-,Чепелево - Вельяминово (с подъездом и проездами по объекту Чехов-2),46,658,0+000,23+628,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
"А-111 Подъездная дорога от а/д М-10 ""Россия"" к государственному комплексу ""Завидово""",-,"Подъездная дорога от а/д М-10 ""Россия"" к государственному комплексу ""Завидово""",309,35,-,-,"ФКУ Упрдор ""Россия""",(4822) 33-14-86,
"А-114 Вологда - Тихвин - автомобильная дорога Р-21 ""Кола""",А-114,"Вологда - Тихвин - автомобильная дорога Р-21 ""Кола""",55,975,331+025,387+000,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,"Вологда - Тихвин - автомобильная дорога Р-21 ""Кола""",131,781,400+000,531+143,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,"Вологда - Тихвин - автомобильная дорога Р-21 ""Кола""",5,507,0+000,5+507,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,"Вологда - Тихвин - автомобильная дорога Р-21 ""Кола""",8,864,0+000,8+864,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,"Вологда - Тихвин - автомобильная дорога Р-21 ""Кола""",10,455,0+000,10+283,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,"Вологда - Тихвин - автомобильная дорога Р-21 ""Кола""",326,7,4+320,331+025,"ФКУ Упрдор ""Холмогоры""",(8172) 72-36-01,
А-118 Кольцевая автомобильная дорога вокруг г.Санкт-Петербурга,-,Кольцевая автомобильная дорога вокруг города Санкт-Петербурга,115,908,0-381,115+527,"ФКУ ДСТО ""Санкт-Петербург""",(812) 232-10-61,
"А-119 Вологда - Медвежьегорск - автомобильная дорога Р-21 ""Кола""",-,"Вологда - Медвежьегорск - автомобильная дорога Р-21 ""Кола""",242,488,393+850,636+466,"ФКУ Упрдор ""Кола""",(8142) 76-71-71; 78-41-88,
-,-,"Вологда - Медвежьегорск - автомобильная дорога Р-21 ""Кола""",314,457,6+130,320+587,"ФКУ Упрдор ""Холмогоры""",(8172) 72-36-01,
-,-,"Вологда - Медвежьегорск - автомобильная дорога Р-21 ""Кола""",55,303,324-329,380+797,"ФКУ Упрдор ""Холмогоры""",(8172) 72-36-01,
"А-120 ""Санкт-Петербургское южное полукольцо"" Кировск - Мга - Гатчина - Большая Ижора",-,"""Санкт-Петербургское южное полукольцо"" Кировск - Мга - Гатчина - Большая Ижора",148,951,0+000,148+632,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
"А-121 ""Сортавала""Санкт-Петербург - Сортавала - автомобильная дорога Р-21 ""Кола""",-,"""Сортавала"" Санкт-Петербург - Сортавала - автомобильная дорога Р-21 ""Кола""",293,581,154+450,468+876,"ФКУ Упрдор ""Кола""",(8142) 76-71-71; 78-41-88,
-,-,- старое направление (Куликово - Хитово),17,1,155+403,172+165,"ФКУ Упрдор ""Кола""",(8142) 76-71-71; 78-41-88,
-,-,"""Сортавала"" Санкт-Петербург - Сортавала - автомобильная дорога Р-21 ""Кола""",24,45,9+050,33+500,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,"""Сортавала"" Санкт-Петербург - Сортавала - автомобильная дорога Р-21 ""Кола""",117,77,36+000,153+770,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия,А-101,Москва - Малоярославец - Рославль - граница с Республикой Беларусь,302,883,82+170,385+000,ФКУ Упрдор Москва - Бобруйск,(4842) 54-98-28,
-,-,Москва - Малоярославец - Рославль - граница с Республикой Беларусь,40,391+000,431+000,ФКУ Упрдор Москва - Бобруйск,(4842) 54-98-28,,
-,-,- соединительная дорога между А-130 и М-3,7,55,0+000,7+550,ФКУ Упрдор Москва - Бобруйск,(4842) 54-98-28,
-,-,- соединительная дорога между А-130 и М-3,24,0+000,24+000,ФКУ Упрдор Москва - Бобруйск,(4842) 54-98-28,,
"А-132 Подъездная дорога от автомобильной дороги М-1 ""Беларусь"" к г. Смоленску",-,"Подъездная дорога от автомобильной дороги М-1 ""Беларусь"" к городу Смоленск",7,608,0+000,7+608,ФКУ Упрдор Москва - Бобруйск,(4842) 54-98-28,
"А-133 Подъездная дорога от автомобильной дороги М-4 ""Дон"" к г. Липецку",-,"Подъездная дорога от а/д М-4 ""Дон"" к городу Липецк",58,294,0+000,58+100,"ФКУ ""Черноземуправтодор""",(473) 280-16-10,
"А-134 Подъездная дорога от а/д М-4 ""Дон"" к городу Воронеж",-,"Подъездная дорога от а/д М-4 ""Дон"" к городу Воронеж",13,374,0+000,14+000,"ФКУ ""Черноземуправтодор""",(473) 280-16-10,
"А-135 Подъездная дорога от автомобильной дороги М-4 ""Дон"" к г. Ростову-на-Дону",-,Подъездная дорога - северный подъезд,2,33,0+000,2+330,"ФКУ Упрдор ""Азов""",(863) 232-94-60; 232-38-38,
-,-,"от а/д М-4 ""Дон"" - западный обход",10,14,0+000,10+140,"ФКУ Упрдор ""Азов""",(863) 232-94-60; 232-38-38,
-,-,к городу Ростов-на-Дону: - южный подъезд,14,6,2+400,17+000,"ФКУ Упрдор ""Азов""",(863) 232-94-60; 232-38-38,
"А-136 Подъездная дорога от автомобильной дороги М-4 ""Дон"" к г. Краснодару",-,"Подъездная дорога от а/д М-4 ""Дон"" к городу Краснодар",17,87,0+000,17+870,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
А-142 Тросна - Калиновка,А-142,Тросна - Калиновка,108,71,4+800,113+000,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
А-146 Краснодар - Верхнебаканский,-,Краснодар - Верхнебаканский,140,693,0+000,140+693,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
-,-,Краснодар - Верхнебаканский,8,745,0+000,8+745,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
А-147 Джубга - Сочи - граница с Республикой Абхазия,М-27,Джубга - Сочи - граница с Республикой Абхазия,212,47,0+000,212+470,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
-,-,Джубга - Сочи - граница с Республикой Абхазия,18,7,0+000,18+007,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
-,-,Джубга - Сочи - граница с Республикой Абхазия,15,992,-,-,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
-,-,Джубга - Сочи - граница с Республикой Абхазия,5,922,-,-,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
-,-,Джубга - Сочи - граница с Республикой Абхазия,3,26,-,-,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
-,-,"- участок ""Стадион""",2,883,-,-,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
-,-,"- участок ""Стадион""",0,238,-,-,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
А-149 Адлер - Красная Поляна,-,Адлер - Красная Поляна,43,155,0+000,43+155,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
-,-,"- участок ""Аэропорт""",6,478,-,-,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
А-151 Цивильск - Ульяновск,А-151,Цивильск - Ульяновск,199,0+000,199+000,"ФКУ Упрдор ""Волга""",(8352) 62-43-64,,
А-153 Нытва - Кудымкар,1Р 344,Нытва - Кудымкар,126,0+000,126+035,"ФКУ ""Уралуправтодор""",(343) 262-88-15,,
А-154 Урвань - Верхняя Балкария - Уштулу,-,Урвань - Верхняя Балкария - Уштулу,83,6,0+000,83+600,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
А-155 Черкесск - Домбай - граница с Республикой Абхазия,А-155,Черкесск - Домбай - граница с Республикой Абхазия,119,4,0+000,119+400,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
"А-156 Под.дорога от А-155 к МЦО ""Архыз"" и к специализиров. астрофизической обсерватории РАН",А-155,#ИМЯ?,30,0+000,30+000,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,,
-,-,"Подъездная дорога от А-155 Черкесск - Домбай - граница с Республикой Абхазия к МЦО ""Архыз""",75,6,0+000,75+600,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
-,-,и к специализированной астрофизической обсерватории Российской академии наук,16,8,0+000,16+800,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
А-157 Минеральные Воды (аэропорт) - Кисловодск,А-157,Минеральные Воды (аэропорт) - Кисловодск,46,8,0+000,46+880,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
-,-,Минеральные Воды (аэропорт) - Кисловодск,1,6,0+000,1+600,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
А-158 Прохладный - Баксан - Эльбрус,-,Прохладный - Баксан - Эльбрус,49,7,0+000,49+720,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
-,-,Прохладный - Баксан - Эльбрус,104,74,0+000,104+740,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
А-159 Под. дорога от г.Майкопа к Кавказскому государственному биосферному заповеднику,-,Подъездная дорога от Майкопа к Кавказскому государственному биосферному заповеднику,77,15,8+000,85+150,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
А-160 Майкоп - Усть-Лабинск - Кореновск,1Р 253,Майкоп - Усть-Лабинск - Кореновск,122,466,4+200 88+842,82+654 132+854,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
А-161 Владикавказ - Нижний Ларс - граница с Грузией,-,Владикавказ - Нижний Ларс - граница с Республикой Грузия,26,1,0+000,26+100,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
А-162 Владикавказ - Алагир,-,Владикавказ - Алагир,34,5,0+000,34+500,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
"А-163 Под.дорога от автомобильной дороги Р-217 ""Кавказ"" к аэропорту г. Владикавказа",-,"Подъездная дорога от автомобильной дороги ""Кавказ"" к аэропорту города Владикавказ",4,5,0+000,4+530,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
"А-164 ""Транскам""Карджин - Алагир - Нижний Зарамаг - граница с Республикой Южная Осетия",-,"""Транскам"" Карджин - Алагир - Нижний Зарамаг - граница с Республикой Южная Осетия",96,98,0+000,96+980,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
А-165 Лермонтов - Черкесск,А-156,Лермонтов - Черкесск,88,8,0+000,88+827,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
А-167 Кочубей - Нефтекумск - Зеленокумск - Минеральные Воды,-,Кочубей - Нефтекумск - Зеленокумск - Минеральные Воды,252,636,95+830,348+466,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
-,-,Кочубей - Нефтекумск - Зеленокумск - Минеральные Воды,20,57,0+000,20+570,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
-,-,Кочубей - Нефтекумск - Зеленокумск - Минеральные Воды,95,83,0+000,95+830,"ФКУ Упрдор ""Каспий""",(861) 262-78-46,
"А-180 ""Нарва""Санкт-Петербург - граница с Эстонской Республикой",М-11,Санкт-Петербург - граница с Эстонской Республикой,117,905,31+440,148+402,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,Санкт-Петербург - граница с Эстонской Республикой,4,4,0+000,4+400,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,Санкт-Петербург - граница с Эстонской Республикой,37,638,16+000,52+983,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,Санкт-Петербург - граница с Эстонской Республикой,4,969,1+488,6+417,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,- старое направление (Котельский - Караваево),10,593,16+600,41+600,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
"А-181 ""Скандинавия""Санкт-Петербург - Выборг - граница с Финляндской Республикой",М-10,Санкт-Петербург - Выборг - граница с Финляндской Республикой,160,812,47+571,208+360,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,Санкт-Петербург - Выборг - граница с Финляндской Республикой,5,811,0+000,5+811,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,Санкт-Петербург - Выборг - граница с Финляндской Республикой,10,73,0+000,10+730,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,"- подъезд к пограничному переходу ""Брусничное""",10,56,0+000,10+056,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
-,-,"- подъезд к пограничному переходу ""Брусничное""",1,237,31+400,32+637,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
А-212 Псков - Изборск - граница с Эстонской Республикой,А-212,Псков - Изборск - граница с Эстонской Республикой,55,205,4+675,59+968,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
А-216 Гвардейск - Неман - граница с Литовской Республикой,А-216,Гвардейск - Неман - граница с Литовской Республикой,61,4,0+000,61+493,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
А-229 Калининград - Черняховск - Нестеров - граница с Литовской Республикой,А-229,Калининград - Черняховск - Нестеров - граница с Литовской Республикой,142,4,8+000,149+891,"ФКУ ""Севзапуправтодор""",(812) 232-10-61,
А-240 Брянск - Новозыбков - граница с Республикой Белоруссия,М-13,Брянск - Новозыбков - граница с Республикой Беларусь,216,2,4+800,221+000,ФКУ Упрдор Москва - Бобруйск,(4842) 54-98-28,
А-260 Волгоград - Каменск-Шахтинский - граница с Украиной,М-21,Волгоград - Каменск-Шахтинский - граница с Украиной,332,5,11+000,343+500,"ФКУ Упрдор ""Азов""",(863) 232-94-60; 232-38-38,
-,-,Волгоград - Каменск-Шахтинский - граница с Украиной,29,1,350+450,379+460,"ФКУ Упрдор ""Азов""",(863) 232-94-60; 232-38-38,
"А-270 Автомобильная дорога М-4 ""Дон"" - Новошахтинск - граница с Украиной",М-19,"А/д М-4 ""Дон"" - Новошахтинск - граница с Украиной",31,57,876+130,907+700,"ФКУ Упрдор ""Азов""",(863) 232-94-60; 232-38-38,
А-280 Ростов-на-Дону - Таганрог - граница с Украиной,М-23,Ростов-на-Дону - Таганрог - граница с Украиной,113,33,5+670,119+000,"ФКУ Упрдор ""Азов""",(863) 232-94-60; 232-38-38,
А-290 Новороссийск - Керченский пролив - граница с Украиной,М-25,Новороссийск - Керченский пролив - граница с Украиной,47,8,0+000,47+800,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
-,-,Новороссийск - Керченский пролив - граница с Украиной,96,9,49+010,145+100,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
"А-295 Йошкар-Ола - Зеленодольск - автомобильная дорога М-7 ""Волга""",1Р 175,"Йошкар-Ола - Зеленодольск - автомобильная дорога М-7 ""Волга""",3,1,6+200,9+300,"ФКУ ""Волго-Вятскуправтодор""",(843) 273-54-08; 273-52-11,
-,-,"Йошкар-Ола - Зеленодольск - автомобильная дорога М-7 ""Волга""",77,382,14+160,92+360,"ФКУ ""Волго-Вятскуправтодор""",(843) 273-54-08; 273-52-11,
-,-,"Йошкар-Ола - Зеленодольск - автомобильная дорога М-7 ""Волга""",12,192,114+106,126+298,"ФКУ ""Волго-Вятскуправтодор""",(843) 273-54-08; 273-52-11,
-,-,"Йошкар-Ола - Зеленодольск - автомобильная дорога М-7 ""Волга""",6,64,0+000,6+640,"ФКУ ""Волго-Вятскуправтодор""",(843) 273-54-08; 273-52-11,
-,-,"Йошкар-Ола - Зеленодольск - автомобильная дорога М-7 ""Волга""",21,415,0+000,21+415,"ФКУ ""Волго-Вятскуправтодор""",(843) 273-54-08; 273-52-11,
А-300 Самара - Большая Черниговка - граница с Республикой Казахстан,М-32,Самара - Большая Черниговка - граница с Республикой Казахстан,185,85,8+650,194+500,"ФКУ ""Поволжуправтодор""",(8412) 55-11-04,
А-305 Оренбург - Илек - граница с Республикой Казахстан,1Р 335,Оренбург - Илек - граница с Республикой Казахстан,126,8,3+000,129+773,ФКУ Упрдор Самара - Уфа - Челябинск,(347) 228-12-14,
А-310 Челябинск - Троицк - граница с Республикой Казахстан,М-36,Челябинск - Троицк - граница с Республикой Казахстан,128,16,16+270,144+430,"ФКУ Упрдор ""Южный Урал""",(351) 266-65-63,
А-320 Омск - Черлак - граница с Республикой Казахстан,М-38,Омск - Черлак - граница с Республикой Казахстан,177,86,14+000,191+857,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
А-322 Барнаул - Рубцовск - граница с Республикой Казахстан,-,Барнаул - Рубцовск - граница с Республикой Казахстан,287,365,11+550,298+915,"ФКУ Упрдор ""Алтай""",(83852) 63-14-59 (круглосуточно) и (83852) 63-73-58 (в нерабочее время, выходные и праздничные дни)
-,-,Барнаул - Рубцовск - граница с Республикой Казахстан,33,64,303+440,337+080,"ФКУ Упрдор ""Алтай""",(83852) 63-14-59 (круглосуточно) и (83852) 63-73-58 (в нерабочее время, выходные и праздничные дни)
"А-331 ""Вилюй""Тулун - Братск - Усть-Кут - Мирный - Якутск",-,Тулун - Братск - Усть-Кут - Мирный - Якутск,240,812,2+000,240+603,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Тулун - Братск - Усть-Кут - Мирный - Якутск,296,118,264+000,560+070,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Тулун - Братск - Усть-Кут - Мирный - Якутск,134,15+000,149+000,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,,
-,-,Тулун - Братск - Усть-Кут - Мирный - Якутск,30,261,162+039,192+266,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Тулун - Братск - Усть-Кут - Мирный - Якутск,23,795,0+000,23+725,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
-,-,Тулун - Братск - Усть-Кут - Мирный - Якутск,10,9,719+700,730+660,"ФКУ Упрдор ""Вилюй""",(4112) 44-10-78,
-,-,Тулун - Братск - Усть-Кут - Мирный - Якутск,568,529,7+380,575+909,"ФКУ Упрдор ""Вилюй""",(4112) 44-10-78,
-,-,Тулун - Братск - Усть-Кут - Мирный - Якутск,728,136,585+759,659+849,"ФКУ Упрдор ""Вилюй""",(4112) 44-10-78,
-,-,Тулун - Братск - Усть-Кут - Мирный - Якутск,-,661+514,752+300,"ФКУ Упрдор ""Вилюй""",(4112) 44-10-78,,
-,-,Тулун - Братск - Усть-Кут - Мирный - Якутск,-,752+600,807+823,"ФКУ Упрдор ""Вилюй""",(4112) 44-10-78,,
-,-,Тулун - Братск - Усть-Кут - Мирный - Якутск,-,808+547,956+342,"ФКУ Упрдор ""Вилюй""",(4112) 44-10-78,,
-,-,Тулун - Братск - Усть-Кут - Мирный - Якутск,-,956+907,1048+740,"ФКУ Упрдор ""Вилюй""",(4112) 44-10-78,,
-,-,Тулун - Братск - Усть-Кут - Мирный - Якутск,-,1049+092,1310+585,"ФКУ Упрдор ""Вилюй""",(4112) 44-10-78,,
А-333 Култук - Монды - граница с Монголией,-,Култук - Монды - граница с Монголией,218,6,0+000,218+600,"ФКУ Упрдор ""Южный Байкал""",(3012) 21-56-81,
А-340 Улан-Удэ - Кяхта - граница с Монголией,-,Улан-Удэ - Кяхта - граница с Монголией,217,623,0+000,219+000,"ФКУ Упрдор ""Южный Байкал""",(3012) 21-56-81,
-,-,Улан-Удэ - Кяхта - граница с Монголией,11,677,206+152,219+000,"ФКУ Упрдор ""Южный Байкал""",(3012) 21-56-81,
А-350 Чита - Забайкальск - граница с Китайской Народной Республикой,А-166,Чита - Забайкальск - граница с Китайской Народной Республикой,487,228,6+000,486+352,"ФКУ Упрдор ""Забайкалье""",(3022) 36-49-96,
"А-361 Под.дорога от автомобильной дороги А-360 ""Лена"" к границе с КНР ",-,"Подъездная дорога от а/д А-360 ""Лена"" к границе с Китайской Народной Республикой",13,0+000,13+000,"ФКУ ДСД ""Дальний Восток""",(4212) 45-11-48,,
-,-,"Подъездная дорога от а/д А-360 ""Лена"" к границе с Китайской Народной Республикой",65,6,19+000,84+600,"ФКУ ДСД ""Дальний Восток""",(4212) 45-11-48,
"А-360 ""Лена""Невер - Якутск",М-56,Невер - Якутск,1157,0+000,1157+000,"ФКУ Упрдор ""Лена""",8 (41145) 3-12-18; 8 (924) 173-12-18,,
"А-370 ""Уссури""Хабаровск - Владивосток",М-60,Хабаровск - Владивосток,738,676,12+000,752+000,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,
-,-,Хабаровск - Владивосток,5,63,176+300,182+400,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,
-,-,Хабаровск - Владивосток,10,785,209+800,222+700,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,
-,-,Хабаровск - Владивосток,0,84,222+148,222+988,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,
-,-,Хабаровск - Владивосток,0,68,244+460,245+140,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,
-,-,Хабаровск - Владивосток,0,9,257+700,258+600,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,
