Учетн. номер дороги (новый),Учетн. номер дороги,Наименование автомобильной дороги (новое),Протяженность (км),Начало (км+…),Конец (км+…),Органы управления дорожным хозяйством, в оперативное управление которых переданы автомобильные дороги федерального значения,Телефоны оперативных дежурных служб,
-,-,"А/д М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - гр. с Азербайджанской Республикой",27,5,0+000,27+005,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
-,-,"А/д М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - гр. с Азербайджанской Республикой",12,416,0+000,12+416,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
-,-,"А/д М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - гр. с Азербайджанской Республикой",15,5,0+000,15+500,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
-,-,"А/д М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - гр. с Азербайджанской Республикой",7,3,21+050,28+350,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
-,-,"А/д М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - гр. с Азербайджанской Республикой",7,362,0+000,7+250,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
-,-,"А/д М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - гр. с Азербайджанской Республикой",3,756,0+000,3+756,"ФКУ Упрдор ""Кавказ""",(8793) 33-77-50,
-,-,"А/д М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - гр. с Азербайджанской Республикой",209,4,0+000,209+400,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
-,-,"А/д М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - гр. с Азербайджанской Республикой",102,454,0+050 54+559,53+973 103+090,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
-,-,"А/д М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - гр. с Азербайджанской Республикой",7,587,0+090,7+677,"ФКУ Упрдор ""Черноморье""",(8622) 68-60-20,
Р-228 Сызрань - Саратов - Волгоград,1Р 228,Сызрань - Саратов - Волгоград,391,64,47+000,428+295,"ФКУ ""Поволжуправтодор""",(8412) 55-11-04,
-,-,Сызрань - Саратов - Волгоград,3,6,267+580,271+180,"ФКУ ""Поволжуправтодор""",(8412) 55-11-04,
-,-,Сызрань - Саратов - Волгоград,229,356,446+636,675+847,ФКУ Упрдор Москва - Волгоград,(4752) 71-55-49; 72-60-44,
-,-,Сызрань - Саратов - Волгоград,31,36,17+900,47+200,"ФКУ Упрдор ""Волга""",(8352) 62-43-64,
Р-239 Казань - Оренбург - Акбулак - граница с Республикой Казахстан,-,Казань - Оренбург,63,94,10+910,74+350,"ФКУ ""Волго-Вятскуправтодор""",(843) 273-54-08; 273-52-11,
-,-,Казань - Оренбург,310,617,88+800,399+065,"ФКУ ""Волго-Вятскуправтодор""",(843) 273-54-08; 273-52-11,
-,-,Казань - Оренбург,6,4,0+000,6+400,"ФКУ ""Волго-Вятскуправтодор""",(843) 273-54-08; 273-52-11,
-,-,Казань - Оренбург,2,57,74+350,76+920,"ФКУ ""Волго-Вятскуправтодор""",(843) 273-54-08; 273-52-11,
-,-,Казань - Оренбург,13,17,80+260,93+430,"ФКУ ""Волго-Вятскуправтодор""",(843) 273-54-08; 273-52-11,
-,-,Казань - Оренбург - Акбулак - граница с Республикой Казахстан,313,7,398+860,712+514,ФКУ Упрдор Самара - Уфа - Челябинск,(347) 228-12-14,
